specimenAgingtime;specimenAgingT;specimenCreepStress;specimenMaterialStateName;specimen_ID;tEMProcess;transmissionElectronMicroscope;manufacturerSeries;tEMManufacturer;calibrationFactor;dFImage_ID;precipitateGeometryMeasurement;particleNumber;particleArea;weightedXPositionCentralPoint;weightedYPositionCentralPoint;perimeter;elipseFitMajorAxis;elipseFitMinorAxis;particleRadius_nm;labDFImage_ID;softwareAgent;;;
0;0;0;T61;T61_1;tEMProcess_39;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_39;T61_1_1_39;825;1126.541;621.808;128.225;33.865;31.018;2.4307668054;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_40;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_40;T61_1_1_40;1097;673.712;624.617;128.61;47.451;29.435;2.8029776606;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_41;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_41;T61_1_1_41;76;1649.868;621.645;32.971;11.415;8.477;0.7377736139;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_42;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_42;T61_1_1_42;203;1168.682;640.978;63.598;22.85;11.312;1.2057696319;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_43;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_43;T61_1_1_43;58;1148.397;641.741;34.87;13.446;5.492;0.6445109785;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_44;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_44;T61_1_1_44;190;1843.184;668.932;50.527;16.457;14.7;1.1665225088;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_45;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_45;T61_1_1_45;269;726.875;677.972;62.184;22.091;15.504;1.3880095771;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_46;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_46;T61_1_1_46;188;494.218;684.122;50.527;17.875;13.392;1.1603666742;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_47;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_47;T61_1_1_47;292;2016.801;682.969;64.527;24.774;15.007;1.4461313745;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_48;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_48;T61_1_1_48;4070;243.871;718.47;241.037;81.569;63.53;5.3990024845;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_49;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_49;T61_1_1_49;1028;1058.418;707.481;119.64;40.247;32.521;2.7133941231;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_50;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_50;T61_1_1_50;555;1455.068;741.242;88.326;29.827;23.691;1.9937137968;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_51;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_51;T61_1_1_51;208;890.168;745.053;53.113;18.019;14.697;1.2205286835;L_T61_1_1;ImageJ;;;
